id , name, adusers, ddownloads, lastupdated, minv, maxv, isMailExt, #Auth, Authors, A1Id,  A2Id,  A3Id, cTB52, cTB60, cTB68b, cTB68,homepage_url,support_url
674047,Check Attachment before Send,2,32,2018-01-18,31.0,52.0,0,1,ClearCode Inc.,182999,,,2018-01-18,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/check-attachment-before-send/,None
674247,AutoProxy-ng,7,151,2017-07-04,3.0,3.3,0,1,hrimfaxi,8112980,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/autoproxy-ng/,None
674747,Complete master password,1,21,2016-01-07,1.5,46.0,0,1,Kysic,4468348,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/complete-master-password/,None
676875,Rspamd-spamness,764,52,2019-08-28,24.0,60.0,0,1,Alexander Moisseev,6800362,,,2016-05-10,2018-02-11,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/rspamd-spamness/,{u'en-US': u'https://github.com/moisseev/rspamd-spamness/issues'}
677156,InfoQube Firefox extension,7,38,2015-12-30,1.5,3.0,0,1,Pierre Paul Landry,12070625,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/infoqube-firefox-extension/,None
677444,Rikaichan Japanese-Hungarian Dictionary File,1,41,2017-03-06,3.0,45.0,0,1,ffjon,2846,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/rikaichan-jphu/,None
677455,No need flash plugin on embeded youtube movies,187,73,2016-04-10,8.0,58.0,0,1,Vasiliy Temnikov,5379973,,,2016-04-09,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/no-need-flash-plugin-on-embede/,None
679462,Stylish-Custom,85,192,2017-07-16,3.3,56.0,0,1,ChoGGi,61348,,,2016-10-03,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/stylish-custom/,{u'en-GB': u'https://choggi.org/wiki/stylish-custom'}
682671,RM: EXTERNAL:,0,23,2016-01-29,38.5,45.0,0,1,paul,12099889,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/rm-external/,None
684503,Sensitivity Header + SPX,3,25,2016-02-07,37.0,43.0,0,1,heiligkuh,12108389,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/sensitivity-header-spx/,{u'en-US': u'http://www.github.com/heiligkuh'}
684671,Delete Only Empty Folder,13,8,2018-01-18,31.0,52.0,0,1,ClearCode Inc.,182999,,,2018-01-18,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/delete-only-empty-folder/,None
685797,Email Addresses in Message Headers,28,25,2016-04-12,38.5,47.0,0,1,Patrick Dark,6583070,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/eaimh/,None
685896,GNotifier,204,342,2018-05-16,24.1,56.0,0,1,mkiol,6728852,,,2016-10-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/gnotifier/,{u'en-US': u'https://github.com/mkiol/GNotifier'}
686656,Zonio Freebusy for Lightning,28,27,2018-10-25,60.0,60.0,0,1,Zonio,6661660,,,2099-01-01,2018-09-22,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/zonio-freebusy-for-lightning/,{u'en-US': u'https://zonio.net/docs'}
687130,Classic Pop-up Alerts,27,27,2016-10-13,44.0,51.0,0,1,Oleksandr,5642089,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/classic-pop-up-alerts/,None
687261,Task Me (activity logger),3,25,2016-06-15,38.5,38.0,0,1,Piotr Gawel,12128310,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/task-me-activity-logger/,None
688457,ClickGuard,0,26,2016-03-22,38.0,57.0,0,2,Desktopd Collaboration; Desktopd Collaboration (old account),12314278,11884182,,2016-03-21,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/clickguard/,{u'en-US': u'https://notabug.org/desktopd/ClickGuard/issues'}
688542,Colored Recipient Type,214,40,2016-09-23,24.0,38.0,0,1,Piroli YUKARINOMIYA,10601292,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/colored-recipient-type/,{u'en-US': u'http://lab.magicvox.net/trac/public/wiki/Mozilla%20Thunderbird/ColoredRecipientType'}
690062,Sender Frequency,227,49,2019-08-07,68.0,100,1,1,Jorg K,6190978,,,2017-01-23,2018-04-04,2099-01-01,2019-07-06,https://addons.thunderbird.net/en-US/thunderbird/addon/sender-frequency/,{u'en-US': u'http://www.jorgk.com'}
691348,AntiLostFilter,0,23,2017-01-31,0.3,52.0,0,1,AuthorsEnc,12167834,,,2016-10-09,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/antilostfilter/,{u'ru': u'http://alf.did120.ru'}
692835,Native AdBlocker,9,30,2016-03-21,31.0,45.0,0,1,nativehyun,12158419,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/native-adblocker/,None
692879,teclib' Protocol,0,42,2016-03-30,15.0,48.0,0,1,Alexander Salas Bastidas,6640,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/teclib/,{u'en-US': u'https://github.com/ajsb85/instantbird-protocol-teclib/issues'}
693775,DSN Settings 2,57,26,2016-03-26,3.0,49.0,0,1,wlkn,5406127,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/dsn-settings-2/,{u'en-US': u'http://www.trustedbird.org/tb/DSN_Settings'}
694104,ExtendIMAPFilters,426,53,2016-03-26,45.0,60.0,0,1,thunderpec,5616758,,,2016-03-26,2016-03-26,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/extendimapfilters/,None
694437,en-US-694437,3,23,2016-03-29,38.5,47.0,0,1,Patrick Dark,6583070,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/leaimh/,None
695084,Auto Password Registerer,124,24,2016-04-01,31.0,48.0,0,1,ClearCode Inc.,182999,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/auto-password-registerer/,None
695913,List Addons in Windows' Programs,2526,100,2018-10-20,38.0,60.0,0,1,ClearCode Inc.,182999,,,2018-10-19,2018-10-19,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/list-addons-in-win-programs/,{u'en-US': u'https://github.com/clear-code/list-addons-in-win-programs'}
696119,TracEmail,9,51,2016-04-18,11.0,49.0,0,2,AuthorsEnc,10301285,12452918,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/tracemail/,None
696336,fairBlock,8,27,2016-04-16,31.0,52.0,0,1,AdUnblock,12225219,,,2016-04-15,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/fairblock/,None
696824,Http Ping,0,22,2016-04-11,20.0,38.0,0,2,Igor; Sabonis Sergei,12160844,12232162,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/httpping/,None
696832,Shedule Filters,36,33,2016-04-11,20.0,38.0,0,2,Igor; Sabonis Sergei,12160844,12232162,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/shedule-filters/,None
699635,ansitel Click-to-Dial Thunderbird,2,24,2016-04-28,1.5,31.0,0,1,ansitcom,11425534,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/ansitel-click-to-dial-tb/,None
699831,Send Later Button,6815,259,2019-05-17,66.0,100,1,1,Alexander Ihrig,712,,,2016-04-29,2018-04-01,2099-01-01,2019-05-17,https://addons.thunderbird.net/en-US/thunderbird/addon/send-later-button/,{u'de': u'https://www.thunderbird-mail.de/forum/board/86-sp%C3%A4ter-senden-schaltfl%C3%A4che/'; u'en-US': u'https://www.thunderbird-mail.de/forum/board/86-send-later-button/'}
700342,Generate patch command,1,23,2016-05-06,31.0,58.0,0,1,Qeole,11066970,,,2016-05-05,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/generate-patch-command/,None
702004,RemindMeBot-Reddit,21,30,2016-06-26,40.0,51.0,1,1,Silver,12295599,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/remindmebot-reddit/,None
702675,Highlight Unread Folders,26,24,2016-05-16,22.0,45.0,0,1,AuthorsEnc,12304507,,,2099-01-01,2099-01-01,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/highlight-unread-folders/,None
702784,Tategaki,44,33,2018-05-03,45.0,60.0,0,1,marsf,217115,,,2016-07-21,2018-05-03,2099-01-01,2099-01-01,https://addons.thunderbird.net/en-US/thunderbird/addon/tategaki/,{u'en-US': u'http://www.geocities.jp/chimantaea_mirabilis/tategaki/'}
